symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AAPL,2019-01-02 05:00:00+00:00,154.89,158.85,154.23,157.92,39540795.0,249132.0,155.665403
AAPL,2019-01-03 05:00:00+00:00,143.98,145.72,142.0,142.19,96933695.0,663519.0,143.531059
AAPL,2019-01-04 05:00:00+00:00,144.53,148.5499,143.8,148.26,61778347.0,375701.0,146.851272
AAPL,2019-01-07 05:00:00+00:00,148.7,148.83,145.9,147.93,57558992.0,348123.0,147.402035
AAPL,2019-01-08 05:00:00+00:00,149.56,151.82,148.52,150.75,43262815.0,272200.0,150.170519
AAPL,2019-01-09 05:00:00+00:00,151.22,154.53,149.63,153.31,47357421.0,302939.0,152.9307
AAPL,2019-01-10 05:00:00+00:00,152.5,153.97,150.86,153.8,38352943.0,202212.0,152.806588
AAPL,2019-01-11 05:00:00+00:00,152.88,153.7,151.51,152.29,29188016.0,174409.0,152.395147
AAPL,2019-01-14 05:00:00+00:00,150.85,151.27,149.22,150.0,35615230.0,201656.0,150.023109
AAPL,2019-01-15 05:00:00+00:00,150.27,153.39,150.05,153.07,30521774.0,178871.0,152.377469
AAPL,2019-01-16 05:00:00+00:00,153.08,155.88,153.0,154.94,32715874.0,193217.0,154.925875
AAPL,2019-01-17 05:00:00+00:00,154.2,157.66,153.26,155.86,31455212.0,194834.0,155.022719
AAPL,2019-01-18 05:00:00+00:00,157.5,157.88,155.9806,156.82,38936180.0,196213.0,156.973997
AAPL,2019-01-22 05:00:00+00:00,156.41,156.73,152.62,153.3,33813998.0,202669.0,154.191053
AAPL,2019-01-23 05:00:00+00:00,154.15,155.14,151.7,153.92,25086868.0,154694.0,153.47213
AAPL,2019-01-24 05:00:00+00:00,154.11,154.48,151.74,152.7,27555223.0,172121.0,152.69249
AAPL,2019-01-25 05:00:00+00:00,155.48,158.13,154.32,157.76,35456193.0,217033.0,156.880185
AAPL,2019-01-28 05:00:00+00:00,155.79,156.33,153.66,156.3,28268594.0,178641.0,155.420387
AAPL,2019-01-29 05:00:00+00:00,156.25,158.13,154.11,154.68,42940556.0,283852.0,156.726758
AAPL,2019-01-30 05:00:00+00:00,163.25,166.15,160.23,165.25,64221536.0,385275.0,163.313938
AAPL,2019-01-31 05:00:00+00:00,166.11,169.0,164.56,166.44,46391244.0,239810.0,167.003589
AAPL,2019-02-01 05:00:00+00:00,166.96,168.98,165.93,166.52,37377250.0,189662.0,167.079056
AAPL,2019-02-04 05:00:00+00:00,167.41,171.655,167.28,171.25,33732520.0,202051.0,170.462874
AAPL,2019-02-05 05:00:00+00:00,172.86,175.08,172.3501,174.18,38784849.0,227189.0,174.00697
AAPL,2019-02-06 05:00:00+00:00,174.65,175.57,172.8531,174.24,29785634.0,168579.0,174.270383
AAPL,2019-02-07 05:00:00+00:00,172.4,173.94,170.34,170.94,33683089.0,211157.0,171.609329
AAPL,2019-02-08 05:00:00+00:00,168.99,170.66,168.42,170.41,25514712.0,157758.0,169.828501
AAPL,2019-02-11 05:00:00+00:00,171.05,171.21,169.25,169.43,22820299.0,144613.0,169.925433
AAPL,2019-02-12 05:00:00+00:00,170.1,171.0,169.7,170.89,24377009.0,144388.0,170.419429
AAPL,2019-02-13 05:00:00+00:00,171.39,172.48,169.92,170.18,24045302.0,150235.0,170.935069
AAPL,2019-02-14 05:00:00+00:00,169.71,171.2615,169.38,170.8,23600822.0,152537.0,170.655769
AAPL,2019-02-15 05:00:00+00:00,171.25,171.7,169.75,170.42,28088389.0,156630.0,170.55747
AAPL,2019-02-19 05:00:00+00:00,169.71,171.44,169.49,170.93,20631998.0,131210.0,170.537825
AAPL,2019-02-20 05:00:00+00:00,171.19,173.32,170.99,172.03,27767077.0,162650.0,172.245737
AAPL,2019-02-21 05:00:00+00:00,171.8,172.37,170.3,171.06,18548865.0,138107.0,171.136844
AAPL,2019-02-22 05:00:00+00:00,171.58,173.0,171.38,172.95,21752570.0,124430.0,172.429231
AAPL,2019-02-25 05:00:00+00:00,174.15,175.87,173.95,174.23,23498523.0,158857.0,174.813233
AAPL,2019-02-26 05:00:00+00:00,173.71,175.3,173.1732,174.33,18943869.0,119645.0,174.363748
AAPL,2019-02-27 05:00:00+00:00,173.21,175.0,172.73,174.87,30420668.0,125560.0,174.120382
AAPL,2019-02-28 05:00:00+00:00,174.32,174.91,172.92,173.15,32772489.0,125785.0,173.656737
AAPL,2019-03-01 05:00:00+00:00,174.34,175.15,172.89,174.97,29259667.0,147138.0,174.352418
AAPL,2019-03-04 05:00:00+00:00,175.69,177.75,173.97,175.85,28921511.0,189998.0,175.949174
AAPL,2019-03-05 05:00:00+00:00,175.93,176.0,174.54,175.53,22417922.0,127233.0,175.405844
AAPL,2019-03-06 05:00:00+00:00,174.67,175.49,173.94,174.52,23130821.0,137664.0,174.723844
AAPL,2019-03-07 05:00:00+00:00,173.87,174.44,172.02,172.5,27857121.0,180599.0,173.00464
AAPL,2019-03-08 05:00:00+00:00,170.32,173.07,169.5,172.91,27044814.0,167323.0,171.933472
AAPL,2019-03-11 04:00:00+00:00,175.49,179.12,175.35,178.9,34409036.0,211345.0,178.194205
AAPL,2019-03-12 04:00:00+00:00,180.0,182.67,179.37,180.91,35083416.0,215964.0,181.096627
AAPL,2019-03-13 04:00:00+00:00,182.25,183.3,180.92,181.71,36311033.0,188082.0,181.922365
AAPL,2019-03-14 04:00:00+00:00,183.9,184.1,182.56,183.73,26669107.0,155810.0,183.575249
AAPL,2019-03-15 04:00:00+00:00,184.85,187.33,183.74,186.12,49072952.0,202326.0,185.732659
AAPL,2019-03-18 04:00:00+00:00,185.8,188.39,185.79,188.02,28383380.0,163747.0,187.668044
AAPL,2019-03-19 04:00:00+00:00,188.35,188.99,185.92,186.53,34995557.0,197353.0,187.317835
AAPL,2019-03-20 04:00:00+00:00,186.23,189.49,184.73,188.16,33799106.0,193685.0,187.428894
AAPL,2019-03-21 04:00:00+00:00,190.02,196.33,189.81,195.09,56601704.0,309647.0,194.346873
AAPL,2019-03-22 04:00:00+00:00,195.34,197.69,190.78,191.05,44827523.0,298597.0,193.750375
AAPL,2019-03-25 04:00:00+00:00,191.51,191.98,186.6,188.74,45472323.0,308862.0,188.898631
AAPL,2019-03-26 04:00:00+00:00,191.664,192.88,184.58,186.79,53777961.0,344116.0,189.222144
AAPL,2019-03-27 04:00:00+00:00,188.75,189.76,186.55,188.47,32263516.0,196105.0,188.505308
AAPL,2019-03-28 04:00:00+00:00,188.95,189.559,187.53,188.72,21694317.0,152293.0,188.430242
AAPL,2019-03-29 04:00:00+00:00,189.83,190.08,188.54,189.95,27190369.0,149699.0,189.581396
AAPL,2019-04-01 04:00:00+00:00,191.64,191.68,188.38,191.24,30485851.0,181000.0,190.439963
AAPL,2019-04-02 04:00:00+00:00,191.09,194.46,191.05,194.02,23995258.0,169578.0,193.172189
AAPL,2019-04-03 04:00:00+00:00,193.25,196.5,193.15,195.35,25192760.0,164496.0,195.275981
AAPL,2019-04-04 04:00:00+00:00,194.79,196.37,193.14,195.69,20834653.0,134612.0,195.668047
AAPL,2019-04-05 04:00:00+00:00,196.45,197.1,195.93,197.0,19808928.0,124100.0,196.674528
AAPL,2019-04-08 04:00:00+00:00,196.42,200.23,196.34,200.1,27073380.0,180920.0,199.042547
AAPL,2019-04-09 04:00:00+00:00,200.32,202.85,199.23,199.5,37701484.0,232195.0,200.841668
AAPL,2019-04-10 04:00:00+00:00,198.68,200.74,198.18,200.62,22674859.0,160822.0,199.54837
AAPL,2019-04-11 04:00:00+00:00,200.85,201.0,198.4431,198.95,22434159.0,142493.0,199.67823
AAPL,2019-04-12 04:00:00+00:00,199.2,200.14,196.21,198.87,29516953.0,195288.0,198.380156
AAPL,2019-04-15 04:00:00+00:00,198.58,199.85,198.01,199.23,19497987.0,140398.0,199.013386
