Symbol
MSFT
AAPL
NVDA
GOOGL
GOOG
AMZN
META
BRK-B
LLY
AVGO
JPM
V
TSLA
WMT
XOM
UNH
MA
PG
HD
JNJ
ORCL
MRK
COST
ABBV
BAC
CRM
CVX
AMD
NFLX
KO
PEP
ADBE
LIN
DIS
TMO
ACN
WFC
MCD
CSCO
GE
ABT
TMUS
QCOM
INTC
DHR
CAT
INTU
IBM
VZ
AMAT
CMCSA
AXP
UBER
BX
TXN
PFE
NOW
AMGN
MS
COP
UNP
LOW
PM
NKE
ISRG
SYK
SPGI
GS
HON
MU
SCHW
NEE
RTX
LRCX
ETN
UPS
T
BKNG
BLK
ELV
PGR
C
PLD
BA
MDT
TJX
DE
LMT
VRTX
BMY
ABNB
REGN
CB
SBUX
CI
ADP
MMC
BSX
CVS
ADI
MDLZ
KLAC
FI
AMT
PANW
GILD
ANET
SHW
HCA
SNPS
WM
CDNS
TGT
CMG
ITW
SLB
ICE
CME
SO
GD
ZTS
EQIX
MO
DUK
CL
MAR
EOG
CSX
PH
NOC
PYPL
MCO
BDX
MPC
MCK
FDX
CTAS
APH
TDG
USB
TT
PSX
ORLY
ECL
AON
FCX
PCAR
EMR
PNC
NXPI
MNST
PXD
RSG
SMCI
ROP
MSI
CEG
SPG
MMM
EW
OXY
NSC
ADSK
VLO
AZO
CPRT
COF
AJG
HLT
APD
DXCM
DHI
MET
AIG
WELL
TRV
EL
CARR
F
TFC
GM
FTNT
PSA
GWW
STZ
ROST
AFL
LULU
COR
URI
MCHP
NUE
WMB
ODFL
LEN
OKE
O
HES
IQV
CCI
DLR
SRE
IDXX
TEL
ALL
AEP
KHC
FAST
JCI
MSCI
PAYX
PCG
AMP
A
KMB
BK
AME
CHTR
FIS
MRNA
HUM
PRU
CNC
KDP
DOW
GEHC
KVUE
KR
SYY
D
NEM
OTIS
LHX
KMI
CMI
CTVA
HSY
GIS
CSGP
LVS
YUM
IR
PWR
MLM
IT
EXC
CTSH
NDAQ
VMC
RCL
EA
FANG
CDW
HAL
ACGL
PPG
DG
GPN
VRSK
LYB
ROK
BKR
PEG
MPWR
EFX
ON
ADM
EXR
DFS
DD
BIIB
DVN
XYL
FICO
ED
VICI
DAL
HIG
ANSS
FTV
XEL
CBRE
HPQ
DLTR
RMD
WST
MTD
GRMN
WTW
GLW
TSCO
HWM
CAH
KEYS
ZBH
TROW
EBAY
EIX
RJF
WY
AVB
WAB
WEC
BLDR
NVR
CHD
FITB
TTWO
BRO
ULTA
PHM
BF-B
TRGP
LYV
ALGN
MOH
DOV
MTB
DECK
BR
AXON
EQR
AWK
SBAC
IRM
STLD
STT
DTE
HPE
PTC
ROL
WRB
CCL
ETR
ARE
STE
HUBB
VLTO
FE
WDC
ILMN
CPAY
IFF
NTAP
BAX
GPC
APTV
INVH
BALL
WBD
TSN
CTRA
ES
WAT
MKC
TDY
PFG
COO
PPL
JBHT
HBAN
DRI
STX
AEE
K
CINF
J
HRL
VRSN
CBOE
RF
CLX
EXPE
CE
OMC
IEX
TXT
LH
HOLX
WBA
AVY
CNP
NTRS
CMS
FSLR
ATO
TYL
BBY
LDOS
VTR
LUV
EXPD
L
JBL
SWKS
SYF
EG
DPZ
MAS
TER
FDS
PKG
AKAM
CFG
ENPH
ESS
EPAM
POOL
EQT
SNA
MAA
NDSN
MRO
TRMB
CF
UAL
ZBRA
LW
ALB
NWS
NWSA
SWK
BG
MGM
HST
BEN
DGX
KEY
TAP
NRG
FOX
FOXA
LKQ
PNR
CAG
GEN
VTRS
CRL
KMX
AMCR
IP
SJM
UDR
CPB
AOS
KIM
RVTY
DOC
INCY
LNT
WRK
JKHY
IPG
NI
AES
UHS
EVRG
JNPR
DVA
RL
PODD
ALLE
EMN
HII
WYNN
REG
PAYC
BBWI
FFIV
QRVO
GL
TECH
TPR
TFX
CPT
MOS
DAY
CTLT
APA
AAL
BIO
BXP
AIZ
HSIC
MTCH
CZR
NCLH
CHRW
FRT
PNW
MKTX
RHI
MHK
ETSY
PARA
BWA
HAS
FMC
GNRC
IVZ
CMA
XRAY
VFC
